UNIDAD A CARGO,TIPO,DETALLE,VIGENCIA DESDE ,ACTO RESOLUTIVO DE APROBACIÓN ,VERSIÓN ( AÑO /MES),ESTADO,OBS - GESTIÓN,ACCIÓN A REALIZAR ,_PDF
OPH/UGP,DIRECTIVA,Directiva DI-405-GTH/006 - Formulación y Envío de la Planilla Electrónica,2017-05-08,RESOLUCIÓN SECRETARIAL N° 026-2017-SGEN/RENIEC,Vr.01-2017,VIGENTE,"Corroborado con documento fuente. Primera versión 2017. Se corrige acto resolutivo OCR y se mantiene vigencia documental, sujeto a evaluación por antigüedad.","Evaluar actualización o ratificación normativa; revisar consistencia con estructura OPH/UGP vigente, PLAME/T-Registro y normativa SUNAT.",documentos/DI_405_GTH_006_PLANILLA_ELECTRONICA.pdf
OPH/UGP,DIRECTIVA,Directiva DI-411-GTH/010 - Entrega de Puesto de los Servidores Civiles del RENIEC,2018-12-21,RESOLUCIÓN SECRETARIAL N° 158-2018-SGEN/RENIEC,Vr.01-2018,EN PROCESO,"Corroborado con documento fuente. Primera versión 2018. Por antigüedad y cambios organizacionales, corresponde mantener control de actualización.",Actualizar o emitir nueva versión; revisar anexos de acta de entrega de puesto y declaración jurada de no retiro de documentación/confidencialidad.,documentos/DI_411_GTH_010_ENTREGA_PUESTO_SERVIDORES_CIVILES.pdf
OPH/UGP,DIRECTIVA,Directiva DI-406-GTH/007 - Administración del Legajo del Servidor Civil en el RENIEC,2021-05-04,RESOLUCIÓN SECRETARIAL N° 000033-2021/SGEN/RENIEC,Vr.02-2021,VIGENTE,"Corroborado con documento fuente. Segunda versión 2021; regula administración, custodia, apertura, organización y control de legajos.","Mantener vigente; revisar necesidad de actualización por ROF/RIS vigente, gestión documental y digitalización de legajos.",documentos/DI_406_GTH_007_ADMINISTRACION_LEGAJO_SERVIDOR_CIVIL.pdf
OPH/UGP,GUÍA DE PROCEDIMIENTOS,Guía de Procedimientos GP-018-OPH/UGP/003 - Concurso Público bajo el Régimen Laboral del Decreto Legislativo N° 728,2023-04-14,RESOLUCIÓN SECRETARIAL N° 000038-2023/SGEN/RENIEC,Vr.01-2023,VIGENTE,Corroborado con documento fuente. Se corrige fecha y acto resolutivo: el documento corresponde a la RS N° 000038-2023/SGEN/RENIEC del 14ABR2023.,Mantener vigente; considerar control de rectificación material y revisión frente a cambios SERVIR/ROF y procesos de selección 728.,documentos/GP_018_OPH_UGP_CONCURSO_PUBLICO_DL_728.pdf
OPH/UGP,GUÍA DE PROCEDIMIENTOS,Guía de Procedimientos GP-021-OPH/UGP/004 - Incorporación de Modalidades Formativas en el RENIEC,2023-08-17,RESOLUCIÓN SECRETARIAL N° 000084-2023/SGEN/RENIEC,Vr.02-2023,VIGENTE,Corroborado con documento fuente. Segunda versión 2023; contiene cambios y reglas para incorporación de modalidades formativas.,"Mantener vigente; revisar si requiere actualización por cambios en procesos de prácticas, anexos y criterios de evaluación.",documentos/GP_021_OPH_UGP_INCORPORACION_MODALIDADES_FORMATIVAS.pdf
OPH/UGP,NORMATIVA ADMINISTRATIVA INTERNA,Normativa Administrativa Interna NAI-040-OPH/UGP/001 - Contratación Administrativa de Servicios por Necesidad Transitoria a Tiempo Determinado en el Marco de los Procesos Electorales para el año 2026,2026-02-24,RESOLUCIÓN DE OFICINA N° 000033-2026/OPH/RENIEC,Vr.01-2026,VIGENTE,"Corroborado con documento fuente. El documento fuente registra Lima, 24 de febrero de 2026 y regula la contratación CAS por necesidad transitoria para procesos electorales 2026.",Mantener vigente durante el ejercicio/proceso electoral 2026; programar revisión al cierre de la necesidad transitoria.,documentos/NAI_040_OPH_UGP_001_CAS_NECESIDAD_TRANSITORIA.pdf
OPH,DIRECTIVA,Directiva DI-063-OPH/002 - Disposiciones para el Reconocimiento a los Servidores Públicos del RENIEC,2025-12-15,RESOLUCIÓN SECRETARIAL N° 000204-2025/SGEN/RENIEC,Vr.01-2025,VIGENTE,Corroborado con documento fuente. Primera versión 2025; deja sin efecto la DI 023-OPH/004 y aprueba la DI-063-OPH/002.,Mantener vigente; coordinar difusión y seguimiento de aplicación con OPH/UCDH y unidades involucradas.,documentos/DI_063_OPH_002_RECONOCIMIENTO_SERVIDORES_PUBLICOS.pdf
OPH,DIRECTIVA,Directiva DI-070-OPH/003 - Gestión del Proceso de Clima Organizacional del RENIEC,2026-01-22,RESOLUCIÓN SECRETARIAL N° 000010-2026/SGEN/RENIEC,Vr.01-2026,VIGENTE,Corroborado con documento fuente. Primera versión 2026; deja sin efecto DI-007-OPH/002 y aprueba la gestión del proceso de clima organizacional.,"Mantener vigente; verificar plan anual, responsables, instrumentos de medición y reportes de clima organizacional.",documentos/DI_070_OPH_003_CLIMA_ORGANIZACIONAL_2026.pdf
OPH,DIRECTIVA,Directiva DI-022-OPH/003 - Inducción a los Servidores Civiles y Modalidades Formativas del RENIEC,2023-06-28,RESOLUCIÓN SECRETARIAL N° 000070-2023/SGEN/RENIEC,Vr.01-2023,VIGENTE,Corroborado con documento fuente. Se reemplaza “no se visualiza la resolución” por acto resolutivo identificado en el documento de aprobación de la directiva.,"Mantener vigente; revisar implementación de inducción general/específica, fichas de evaluación y registro de evidencias.",documentos/DI_022_OPH_003_INDUCCION_SERVIDORES_MODALIDADES_FORMATIVAS.pdf
RENIEC / OPPM,REGLAMENTO,Reglamento de Organización y Funciones - ROF,2024-04-08,RESOLUCIÓN JEFATURAL N° 000061-2024/JNAC/RENIEC,Vr.2024,VIGENTE,"Corroborado con documento fuente institucional. Documento base para organización, competencias y funciones del RENIEC.",Mantener como marco institucional de referencia para todos los documentos RH; verificar modificatorias vigentes.,documentos/ROF.pdf
